text_content,suspicious_keyword_count,sentiment_score,grammar_score,readability_score,legitimacy_score,urgency_score,word_count,sentence_count,avg_sentence_length,domain_age_days,ssl_certificate,domain_reputation,contact_info_present,social_media_links,privacy_policy_present,is_scam
Congratulations! You have won a $5000 scholarship. Click now to claim.,3,0.5448811894632755,39.41626490167411,43.450567634097574,35.203242353175995,89.68353392895169,186,12,15.572008939365652,91,0,34.126020686695306,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.3222788077148727,35.72733093451038,36.71187142225392,24.55839622828947,71.18060601282147,103,14,23.95025252216248,46,0,38.45021680097509,1,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.23825683664976857,87.70529974718161,65.83119696544517,66.20393028132432,28.501291128941098,507,29,12.829093811846365,1995,1,80.15520638276419,0,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.02389329957840483,92.17504051218367,79.00909730848716,72.05440375805085,11.526049083481592,599,33,16.935078047721454,963,1,90.0012656618937,1,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.19926471961147849,84.39308513903248,80.65868345479734,82.38764683050616,22.092254270104434,514,30,12.146845795033133,2602,1,93.04620303422472,1,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.2830653899235893,92.35410919533376,65.0428183869095,71.40723499240171,26.37085159811006,761,23,16.81238805103765,1959,1,99.11800203572375,1,0,0,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.011906772354816339,86.29905215304946,66.76284486781584,72.40996570749621,25.00321665909202,793,36,19.925141897377433,1705,1,83.30937246395717,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,3,0.5356721579921194,34.82038754135536,30.62429155292624,23.47116303790378,67.12435670256772,64,16,20.868974302714435,78,1,25.67417300068954,1,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.45950615446375437,58.63697786576432,33.78580785924908,24.32248568441061,78.05420201836341,174,6,16.021926686335647,52,0,24.876139624061235,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.20065750284497988,41.29244887562082,44.269037023976836,24.361145738965675,85.8622842772979,115,13,18.307351609505883,86,1,42.268766944608416,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,-0.049314905906304454,86.32592287448175,72.96800933218849,68.53787383607755,13.399796260352746,316,37,16.863674806658736,2565,1,86.63467342963511,0,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.05508266525243499,79.52198387253384,81.93443980793467,69.2569949276675,29.8378696628529,615,29,13.026214179700528,1627,1,94.28419628846304,1,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.07630632057461653,84.57941122906942,82.93988156371347,71.84402305388859,29.06648529774277,493,22,19.790244007831433,2622,0,84.9392890776218,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,3,0.4214845941432045,46.25114437230012,49.04754531512175,35.00949885812757,73.21324050937272,91,6,13.890023459756417,51,0,35.22339098359227,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.2685830944866122,94.5701193386538,65.21340254012325,78.68223829132432,18.25678795517813,453,35,14.014517616073054,1970,1,93.80612206686493,0,0,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.14709076962471773,84.12651847644797,82.88182738515691,74.93607541542957,26.83617418057638,447,29,15.284038570786851,607,1,76.40701901008578,0,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.35328614637890066,36.48998332892481,41.06443364832039,11.450881331463426,84.61462753440824,117,15,18.820006951444427,98,1,36.64061074365102,1,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.05445455941142857,90.73856211793324,77.39795903520695,62.482052491867236,26.479607783141308,377,36,13.591338876122133,2275,1,72.36705488473604,0,1,0,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.4654970954501548,33.54715177416421,53.8486303123444,35.967136602842935,77.3164821902685,139,5,15.08417163022673,23,0,41.0329276209281,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.05504985008098373,81.46388499714755,83.70317144753243,70.89967716258673,17.80575817326273,465,30,13.275159078171217,2239,1,75.00850537103408,0,0,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.27343218240267575,93.65204415007287,67.50460051257494,71.46161647533171,10.564575193014127,742,25,14.87004609617019,1003,1,73.28447098206982,1,0,1,0
